text,category,complementary_services
"Améliorer l'expérience utilisateur de mon application.","UI/UX et identité visuelle","Application web"
"Un design moderne pour redonner vie à mon image de marque.","UI/UX et identité visuelle","Marketing digital"
"Travailler sur l'interface et la cohérence de mes supports.","UI/UX et identité visuelle","Site vitrine"
"Charte graphique pour mes réseaux sociaux et site vitrine.","UI/UX et identité visuelle","Marketing digital"
"Je veux apparaître en première page sur Google.","SEO et visibilité","Marketing digital"
"Besoin d'améliorer mon référencement naturel.","SEO et visibilité","Site vitrine"
"Augmenter ma visibilité en ligne et attirer du trafic.","SEO et visibilité","Marketing digital"
"Optimiser mon site pour les moteurs de recherche.","SEO et visibilité","Site vitrine"
"Faire un audit SEO pour mieux positionner mon contenu.","SEO et visibilité","Marketing digital"
"Je souhaite être trouvé par mes clients via Google Maps.","SEO et visibilité","Site vitrine"
"Stratégie de netlinking pour améliorer mon positionnement.","SEO et visibilité","Marketing digital"
"Référencer mes pages produits sur les moteurs.","SEO et visibilité","Site e-commerce"
"Je veux faire de la publicité sur Facebook et Instagram.","Marketing digital","SEO, UI/UX"
"Besoin d'une stratégie marketing pour lancer mon offre.","Marketing digital","Landing page"
"Gérer mes campagnes Google Ads pour générer des ventes.","Marketing digital","SEO"
"Je souhaite une communication digitale sur les réseaux sociaux.","Marketing digital","Identité visuelle"
"Acquérir de nouveaux clients via le marketing en ligne.","Marketing digital","SEO"
"Mettre en place une stratégie d'emailing pour mes abonnés.","Marketing digital","Landing page"
"Créer des campagnes de retargeting pour mon e-commerce.","Marketing digital","Site e-commerce"
"Promouvoir mon activité via des publicités ciblées.","Marketing digital","SEO"
"Je veux automatiser mes emails de relance client.","Automatisation","Marketing digital"
"Besoin de connecter mon CRM à mon site web.","Automatisation","Application web"
"Simplifier mes processus de facturation répétitive.","Automatisation","Application web"
"Créer un workflow pour automatiser mes tâches administratives.","Automatisation","Solution IA"
"Je souhaite gagner du temps en automatisant mes notifications.","Automatisation","Application web"
"Connecter mes outils de vente et de gestion de projet.","Automatisation","Application web"
"Automatisation de la synchronisation entre mes bases de données.","Automatisation","Solution IA"
"Mettre en place des robots pour les tâches chronophages.","Automatisation","Application web"
"Je veux un chatbot pour répondre à mes clients sur mon site.","Solution IA","Automatisation"
"Besoin d'un assistant virtuel pour mon équipe.","Solution IA","Application web"
"Analyser les avis clients avec une solution d'IA.","Solution IA","Marketing digital"
"Créer un système de génération automatique de rapports.","Solution IA","Automatisation"
"Je souhaite intégrer un outil de reconnaissance vocale.","Solution IA","Application web"
"Assistant intelligent pour qualifier mes leads.","Solution IA","Automatisation"
"Mettre en place un moteur de recommandation comme Netflix.","Solution IA","Application web"
"Automatiser la classification de mes mails entrants avec l'IA.","Solution IA","Automatisation"
